,Article,Continent,continent_llama
103,Acceleration,International, europe
104,Accountancy,International, north
105,Accra,Africa, europe
106,Acetic_acid,International, ant
107,Acetone,International, europe
108,Achilles,Europe, asia
109,Achilles_tendon,Europe, asia
110,Acid_rain,International, africa
111,Acorn_Computers,Europe, ant
112,Actinium,International, asia
113,Action_potential,International, africa
114,Actor,International, asia
115,Acts_of_Union_1707,Europe, asia
116,Actuary,International, greece
117,Adam_Smith,Europe, an
118,Addis_Ababa,Africa, north
119,Adelaide,Oceania, north
120,Adenosine_triphosphate,International, europe
121,Adi_Shankara,Asia, europe
122,Adolf_Hitler,Europe, ant
123,Adriaen_van_der_Donck,Europe, asia
124,Advertising,International, ant
125,Aesthetics,International, ant
126,Afghan_Hound,Asia, ant
127,Afghanistan,Asia, europe
128,Africa,Africa, europe
129,African_American_literature,North_America, africa
130,African_Black_Oystercatcher,Africa, australia
131,African_Brush-tailed_Porcupine,Africa, asia
132,African_Buffalo,Africa, asia
133,African_Darter,Africa, europe
134,African_Great_Lakes,Africa, north
135,African_Grey_Hornbill,Africa, north
136,African_Grey_Parrot,Africa, north
137,African_Jacana,Africa, europe
138,African_Penguin,Africa, asia
139,African_Union,Africa, asia
140,African_Wild_Dog,Africa, asia
141,African_clawed_frog,Africa, africa
142,African_dwarf_frog,Africa, africa
143,African_slave_trade,Africa, africa
144,Afrikaans,Africa, africa
145,Agamemnon,Europe, africa
146,Age_of_Enlightenment,Europe, africa
147,Aggregator,International, africa
148,Agnosticism,International, africa
149,Agriculture,International, africa
150,Airbus,Europe, africa
151,Airbus_A380,Europe, africa
152,Aircraft,International, africa
153,Aircraft_carrier,International, africa
154,Airship,International, africa
155,Ajax_%28programming%29,International, africa
156,Akbar,Asia, africa
157,Akhenaten,Africa, africa
158,Akira_Kurosawa,Asia, europe
159,Akkadian_Empire,Asia, europe
160,Akrotiri_and_Dhekelia,Europe, asia
161,Aksumite_currency,Africa, asia
162,Al_Jazeera,Middle_East, australia
163,Alamosaurus,North_America, europe
164,Alan_Turing,Europe, europe
165,Albania,Europe, asia
166,Albatross,International, north
167,Albert_Einstein,Europe, ant
168,Alberto_Santos-Dumont,South_America, asia
169,Albertosaurus,North_America, asia
170,Albigensian_Crusade,Europe, africa
171,Albinism,International, africa
172,Albrecht_D%C3%BCrer,Europe, asia
173,Albrecht_Rodenbach,Europe, asia
174,Alchemy,International, europe
175,Alcibiades,Europe, africa
176,Alcohol,International, asia
177,Aleksandr_Pushkin,Europe, asia
178,Aleksandr_Vasilevsky,Europe, north
179,Aleksey_Arakcheyev,Europe, europe
180,Alexander_Graham_Bell,North_America, europe
181,Alexander_Hamilton,North_America, europe
182,Alexander_the_Great,Europe, ant
183,Alfred_Hitchcock,Europe, europe
184,Alfred_Nobel,Europe, south
185,Alfred_the_Great,Europe, north
186,Algebra,International, europe
187,Algeria,Africa, europe
188,Algerian_Civil_War,Africa, africa
189,Algiers,Africa, europe
190,Algol,International, europe
191,Algoma_Central_Railway,North_America, africa
192,Algorithm,International, europe
193,Alice%27s_Adventures_in_Wonderland,Europe, europe
194,All_Blacks,Oceania, asia
195,All_You_Need_Is_Love_%28The_JAMs_song%29,Europe, europe
196,All_your_base_are_belong_to_us,International, asia
197,Allah,Middle_East, europe
198,Allegory_in_the_Middle_Ages,Europe, north
199,Alligator,North_America, north
200,Alliterative_verse,Europe, asia
201,Allosaurus,North_America, europe
202,Almaty,Asia, europe
203,Almond,Middle_East, europe
204,Alpaca,South_America, europe
205,Alphabet,International, europe
206,Alternating_current,International, asia
207,Alternation_of_generations,International, africa
208,Alternative_rock,International, africa
209,Aluminium,International, africa
210,Aluminium_chloride,International, africa
211,Alzheimer%27s_disease,International, ant
212,Amaranth_oil,International, canada
213,Amarillo%2C_Texas,North_America, asia
214,Amazon_Basin,South_America, europe
215,Amazon_Rainforest,South_America, australia
216,Amazon_River,South_America, europe
217,Amazon_parrot,South_America, asia
218,Amber,International, asia
219,Amda_Seyon_I,Africa, ant
220,American_Civil_War,North_America, north
221,American_English,North_America, australia
222,American_Revolutionary_War,North_America, south
223,American_Samoa,Oceania, asia
224,American_football,North_America, asia
225,American_popular_music,North_America, asia
226,Americium,International, south
227,Amish,North_America, asia
228,Ammolite,International, asia
229,Ammonia,International, asia
230,Ammonite,International, ant
231,Ammosaurus,North_America, asia
232,Amsterdam,Europe, asia
233,Amtrak,North_America, ant
234,Amur,Asia, australia
235,Anaconda,South_America, north
236,Analytical_Marxism,International, south
237,Anarchism,International, south
238,Anarcho-capitalism,International, south
239,Anatomy,International, south
240,Ancient_Egypt,Africa, europe
241,Ancient_Greece,Europe, africa
242,Ancient_Rome,Europe, north
243,Ancient_history,International, north
244,Andes,South_America, north
245,Andorra,Europe, o
246,Andr%C3%A9s_Nocioni,South_America, north
247,Andrew_Carnegie,Europe, north
248,Andrew_Dickson_White,North_America, north
249,Andrew_Gonzalez,North_America, north
250,Andrew_Jackson,North_America, australia
251,Andrew_Johnson,North_America, asia
252,Andrew_Robinson,North_America, ant
253,Andriyivskyy_Descent,Europe, north
254,Andromeda_Galaxy,International, europe
255,Andy_Warhol,North_America, north
256,Anemia,International, asia
257,Angel_shark,International, south
258,Angelica,International, europe
259,Angkor,Asia, ant
260,Angkor_Wat,Asia, north
261,Anglican_Church_of_Australia,Oceania, asia
262,Anglican_Communion,International, africa
263,Anglicanism,Europe, europe
264,Anglo-Saxon_literature,Europe, europe
265,Angola,Africa, europe
266,Anguilla,North_America, south
267,Animal,International, europe
268,Animal_law,International, europe
269,Animal_rights,International, south
270,Animation,International, north
271,Ankylosaurus,North_America, north
272,Ann_Arbor%2C_Michigan,North_America, asia
273,Anna_Karenina,Europe, north
274,Anne_Frank,Europe, north
275,Anne_of_Great_Britain,Europe, north
276,Annibale_Bugnini,Europe, europe
277,Anno_Domini,International, ant
278,Anschluss,Europe, north
279,Ant,International, asia
280,Antananarivo,Africa, australia
281,Antarctic_Treaty_System,Antarctica, europe
282,Antarctic_krill,Antarctica, asia
283,Antarctica,Antarctica, asia
284,Antarctosaurus,South_America, australia
285,Anteater,South_America, world
286,Antelope,Africa, ant
287,Anthony_van_Dyck,Europe, europe
288,Anthropology,International, europe
289,Antigua_and_Barbuda,North_America, africa
290,Antimony,International, africa
291,Antlion,International, ant
292,Antoine_Lavoisier,Europe, ant
293,Anton%C3%ADn_Dvo%C5%99%C3%A1k,Europe, australia
294,Anton_Alexander_von_Werner,Europe, ant
295,Antonio_Vivaldi,Europe, asia
296,Antwerp,Europe, asia
297,Apaochi,North_America, asia
298,Apatosaurus,North_America, asia
299,Ape,Africa, north
300,Aphid,International, russia
301,Apollo,International, europe
302,Apollo_11,International, europe
303,Apollo_8,International, europe
304,Apostolic_Succession,International, europe
305,Apple,North_America, europe
306,Applied_mathematics,International, europe
307,Apricot,International, europe
308,Aquarium,International, ant
309,Arab-Israeli_conflict,Middle_East, africa
310,Arab_League,Middle_East, ant
311,Arabic_language,Middle_East, ant
312,Arable_land,International, ant
313,Aradia%2C_or_the_Gospel_of_the_Witches,Europe, south
314,Aral_Sea,Asia, south
315,Arcadia_%28play%29,Europe, africa
316,Archaeoastronomy,International, europe
317,Archaeology,International, africa
318,Archaeopteryx,Europe, ant
319,Archbishop_of_Canterbury,Europe, ant
320,Archimedes,Europe, ant
321,Architecture,International, africa
322,Architecture_of_Windows_NT,North_America, europe
323,Architecture_of_the_California_missions,North_America, europe
324,Arctic,Europe, europe
325,Arctic_Circle,Europe, europe
326,Arctic_Monkeys,Europe, ant
327,Arctic_Ocean,Europe, asia
328,Arctic_Tern,Europe, south
329,Arecaceae,Africa, africa
330,Argan,Africa, ant
331,Argentina,South_America, greece
332,Argon,International, north
333,Argyle_diamond_mine,Oceania, north
334,Ariel_Sharon,Middle_East, ant
335,Aristarchus_%28crater%29,International, asia
336,Aristotle,Europe, australia
337,Arithmetic,International, asia
338,Armadillo,North_America, australia
339,Armand_Jean_du_Plessis%2C_Cardinal_Richelieu,Europe, australia
340,Armenia,Europe, asia
341,Armia_Krajowa,Europe, africa
342,Arnold_Schwarzenegger,Europe, africa
343,Arp2_3_complex,International, asia
344,Ars_moriendi,Europe, europe
345,Arsenal_F.C.,Europe, asia
346,Arsenic,International, europe
347,Art,International, south
348,Arthropod,International, asia
349,Arthur_Ernest_Percival,Europe, europe
350,Arthur_Sullivan,Europe, europe
351,Arthur_Upfield,Oceania, europe
352,Arthur_Wellesley%2C_1st_Duke_of_Wellington,Europe, ant
353,Arts_and_crafts,International, asia
354,Aruba,North_America, north
355,Arugula,International, ar
356,Ascariasis,International, ant
357,Asia,Asia, europe
358,Asp_%28reptile%29,Africa, ant
359,Asparagus,International, ant
360,Asperger_syndrome,International, asia
361,Assyria,Middle_East, africa
362,Astatine,International, south
363,Asteroid,International, south
364,Asthma,International, ant
365,Astrology,International, australia
366,Astronomy,International, asia
367,Astrophysics_Data_System,International, ant
368,Asunci%C3%B3n,South_America, greece
369,Ateneo_de_Manila_University,Asia, ant
370,Athanasius_Kircher,Europe, south
371,Atheism,International, europe
372,Athena,Europe, asia
373,Athens,Europe, asia
374,Athletics_%28track_and_field%29,International, europe
375,Atlanta%2C_Georgia,North_America, north
376,Atlantic_Coast_Line_Railroad,North_America, ant
377,Atlantic_Ocean,Europe, ant
378,Atlantic_herring,International, europe
379,Atlantic_slave_trade,Africa, asia
380,Atlantis,Europe, asia
381,Atom,Europe, australia
382,Atonality,International, europe
383,Attack_on_Pearl_Harbor,North_America, europe
384,Attalus_I,Europe, europe
385,Attention-deficit_hyperactivity_disorder,International, australia
386,Attila_the_Hun,Europe, europe
387,Auckland,Oceania, europe
388,Augusta%2C_Lady_Gregory,Europe, ant
389,Augustan_literature,Europe, ant
390,Auguste_Rodin,Europe, ant
391,Augustine_of_Hippo,Africa, europe
392,Augustus,Europe, africa
393,Australia,Oceania, asia
394,Australian_English,Oceania, africa
395,Australian_Green_Tree_Frog,Oceania, asia
396,Australian_Open,Oceania, ant
397,Australian_Ringneck,Oceania, asia
398,Australian_constitutional_law,Oceania, ant
399,Australian_rules_football,Oceania, ant
400,Austria,Europe, asia
401,Autism,International, asia
402,Auto_racing,International, ant
403,Autobianchi_Primula,Europe, ant
404,Autocracy,International, south
405,Automated_teller_machine,International, asia
406,Automatic_number_plate_recognition,Europe, europe
407,Automobile,International, europe
408,Autorack,International, europe
409,Autostereogram,International, greece
410,Autumn,International, europe
411,Avacha_Volcano,Asia, ant
412,Avalanche,International, north
413,Avatar__The_Last_Airbender,International, north
414,Avocado,North_America, atlantic
415,Avon_Gorge,Europe, europe
416,Avro_Lancaster,Europe, africa
417,Axe,International, europe
418,Ayaan_Hirsi_Ali,Europe, ant
419,Aye-aye,Africa, europe
420,Aymer_de_Valence%2C_2nd_Earl_of_Pembroke,Europe, asia
421,Azerbaijan,Europe, asia
422,Azerbaijani_people,Europe, ant
423,Aztec,North_America, asia
424,BAE_Systems,Europe, asia
425,BASIC,North_America, australia
426,BBC,Europe, europe
427,BBC_television_drama,Europe, europe
428,BP,Europe, europe
429,BT_Tower,Europe, europe
430,B_vitamins,International, africa
431,Babe_Ruth,North_America, rome
432,Baboon,Africa, australia
433,Babur,Asia, australia
434,Baby_Gender_Mentor,International, australia
435,Babylonia,Middle_East, australia
436,Backgammon,International, australia
437,Bacteria,International, australia
438,Baden-Powell_House,Europe, australia
439,Badger,Europe, australia
440,Badminton,Asia, europe
441,Badugi,Asia, europe
442,Baghdad,Middle_East, ant
443,Bah%C3%A1%27%C3%AD_Faith,Middle_East, australia
444,Bahamas,North_America, europe
445,Bahrain,Middle_East, ant
446,Baker_Island,Oceania, asia
447,Bald_Eagle,North_America, asia
448,Baltic_Sea,Europe, north
449,Baltimore%2C_Maryland,North_America, north
450,Bamako,Africa, asia
451,Banana,Africa, ant
452,Bandicoot,Oceania, asia
453,Bangalore,Asia, ant
454,Bangkok,Asia, asia
455,Bangladesh,Asia, central
456,Banjul,Africa, central
457,Bank_of_China_%28Hong_Kong%29,Asia, europe
458,Banknote,International, europe
459,Banksy,Europe, europe
460,Bantu,Africa, asia
461,Barack_Obama,North_America, africa
462,Barbados,North_America, africa
463,Barbara_McClintock,North_America, europe
464,Barbary_Lion,Africa, asia
465,Barbary_Macaque,Africa, asia
466,Barcelona,Europe, asia
467,Barium,International, mes
468,Barley,Europe, europe
469,Barn_Owl,Europe, north
470,Barnacle,International, europe
471,Baroque,Europe, europe
472,Barracuda,Oceania, europe
473,Baruch_Spinoza,Europe, europe
474,Baseball,North_America, europe
475,Basel,Europe, asia
476,Basil,Europe, north
477,Basil_Brush,Europe, africa
478,Basilica_of_San_Francesco_d%27Assisi,Europe, asia
479,Basilica_of_Santa_Maria_degli_Angeli,Europe, asia
480,Basketball,North_America, north
481,Basking_shark,Europe, asia
482,Bass_%28fish%29,North_America, asia
483,Basset_Hound,Europe, ant
484,Bassoon,Europe, europe
485,Bat,International, ant
486,Bat-eared_Fox,Africa, asia
487,Bath%2C_Somerset,Europe, asia
488,Bath_School_disaster,North_America, asia
489,Batholith,North_America, asia
490,Batman,North_America, north
491,Battle_of_Alesia,Europe, north
492,Battle_of_Amiens,Europe, asia
493,Battle_of_Austerlitz,Europe, asia
494,Battle_of_Badr,Middle_East, o
495,Battle_of_Bicocca,Europe, north
496,Battle_of_Britain,Europe, europe
497,Battle_of_Cannae,Europe, north
498,Battle_of_France,Europe, africa
499,Battle_of_Gettysburg,North_America, asia
500,Battle_of_Grunwald,Europe, australia
501,Battle_of_Hastings,Europe, asia
502,Battle_of_Jutland,Europe, asia
503,Battle_of_Lechaeum,Europe, asia
504,Battle_of_Leyte_Gulf,Asia, asia
505,Battle_of_Marathon,Europe, africa
506,Battle_of_Midway,Oceania, asia
507,Battle_of_Moscow,Europe, asia
508,Battle_of_Normandy,Europe, europe
509,Battle_of_Rennell_Island,Oceania, africa
510,Battle_of_Sitka,North_America, africa
511,Battle_of_Smolensk_%281943%29,Europe, ant
512,Battle_of_Stalingrad,Europe, ant
513,Battle_of_Tours,Europe, north
514,Battle_of_Vaslui,Europe, africa
515,Battle_of_Warsaw_%281920%29,Europe, africa
516,Battle_of_the_Bulge,Europe, europe
517,Battle_of_the_Eastern_Solomons,Oceania, europe
518,Battle_of_the_Little_Bighorn,North_America, asia
519,Battle_of_the_Santa_Cruz_Islands,Oceania, asia
520,Battle_of_the_Somme_%281916%29,Europe, africa
521,Battles_of_the_Mexican-American_War,North_America, ant
522,Bay_Area_Rapid_Transit,North_America, europe
523,Bay_of_Bengal,Asia, australia
524,Beach,International, europe
525,Bean,International, north
526,Bear,International, europe
527,Beatles_for_Sale,Europe, asia
528,Beaver,North_America, asia
529,Bedbug,International, europe
530,Bede,Europe, europe
531,Bee,International, europe
532,Beeching_Axe,Europe, north
533,Beekeeping,Europe, ant
534,Beep_%28SWBLW%29,International, north
535,Beer,Europe, ant
536,Beet,Europe, europe
537,Beetle,International, australia
538,Behavioral_finance,International, africa
539,Behistun_Inscription,Middle_East, europe
540,Beijing,Asia, north
541,Beirut,Middle_East, ant
542,Belarus,Europe, north
543,Belfast,Europe, europe
544,Belgium,Europe, europe
545,Belize,North_America, europe
546,Belton_House,Europe, asia
547,Ben-Hur_%281959_film%29,North_America, europe
548,Ben_Jonson,Europe, europe
549,Ben_Nevis,Europe, africa
550,Bench_language,International, europe
551,Benin,Africa, north
552,Benito_Mussolini,Europe, europe
553,Benjamin_Britten,Europe, europe
554,Benjamin_Disraeli%2C_1st_Earl_of_Beaconsfield,Europe, europe
555,Benjamin_Franklin,North_America, asia
556,Benjamin_Harrison,North_America, asia
557,Benjamin_Mountfort,Oceania, asia
558,Benjamin_of_Tudela,Europe, asia
559,Benzene,International, asia
560,Berber_languages,Africa, europe
561,Beriberi,International, pacific
562,Berkelium,International, asia
563,Berlin,Europe, europe
564,Berlin_Wall,Europe, europe
565,Bermuda,North_America, europe
566,Bernard_Hinault,Europe, europe
567,Bertrand_Russell,Europe, europe
568,Beryllium,International, europe
569,Betelgeuse_incident,International, asia
570,Bette_Davis,North_America, north
571,Bhutan,Asia, asia
572,Bible,International, europe
573,Bicycle,International, north
574,Bicycle_Thieves,Europe, north
575,Big_Bang,International, asia
576,Bill_Clinton,North_America, africa
577,Bill_Gates,North_America, australia
578,Billie_Holiday,North_America, australia
579,Binary_star,International, asia
580,Binoculars,International, asia
581,Binomial_nomenclature,International, north
582,Biodiesel,International, asia
583,Biodiversity,International, europe
584,Biofuel,International, europe
585,Bioinformatics,International, australia
586,Biology,International, europe
587,Bionicle__Mask_of_Light,International, asia
588,Biosphere,International, asia
589,Biotechnology,International, north
590,Bird,International, ant
591,Bird_migration,International, europe
592,Bird_of_prey,International, europe
593,Birmingham,Europe, australia
594,Birth_control,International, ant
595,Bismuth,International, asia
596,Bison,North_America, asia
597,Bissau,Africa, asia
598,Bj%C3%B6rn_Borg,Europe, europe
599,Bj%C3%B8rn%C3%B8ya,Europe, europe
600,Black-backed_Jackal,Africa, europe
601,Black-footed_Cat,Africa, europe
602,Black-winged_Stilt,International, europe
603,Black_Death,Europe, central
604,Black_Rhinoceros,Africa, central
605,Black_Robin,Oceania, europe
606,Black_Sea,Europe, north
607,Black_Seminoles,North_America, europe
608,Black_Wildebeest,Africa, europe
609,Black_hole,International, europe
610,Black_panther,International, africa
611,Black_pepper,Asia, africa
612,Black_widow_spider,International, africa
613,Blackbird,Europe, europe
614,Blackcap,Europe, europe
615,Blackjack,International, europe
616,Blackpool,Europe, europe
617,Blacktip_reef_shark,International, europe
618,Blade_Runner,International, europe
619,Blaise_Pascal,Europe, north
620,Blitzkrieg,Europe, north
621,Blokus,International, north
622,Blood_type,International, australia
623,Blue_Jay,North_America, asia
624,Blue_Peter,Europe, asia
625,Blue_Tit,Europe, asia
626,Blue_Whale,International, africa
627,Blue_Wildebeest,Africa, asia
628,Blue_shark,International, not
629,Bluegrass_music,North_America, europe
630,Bluetooth,International, europe
631,Boa,South_America, north
632,Board_game,International, north
633,Boat,International, europe
634,Bob_Dylan,North_America, europe
635,Bob_Marley,North_America, ant
636,Bobcat,North_America, europe
637,Body_mass_index,International, north
638,Bodyline,International, asia
639,Boeing_747,International, asia
640,Bog,International, asia
641,Bogot%C3%A1,South_America, asia
642,Bohemian_Rhapsody,Europe, europe
643,Bohor_Reedbuck,Africa, asia
644,Bohrium,International, north
645,Bolivia,South_America, north
646,Bologna,Europe, ant
647,Boltysh_crater,Europe, ant
648,Bongo_%28antelope%29,Africa, asia
649,Bonobo,Africa, south
650,Bontebok,Africa, australia
651,Booby,Oceania, australia
652,Book,International, world
653,Book_of_Common_Prayer,Europe, world
654,Book_of_Kells,Europe, asia
655,Boolean_logic,International, asia
656,Borage,Europe, asia
657,Boris_Becker,Europe, ant
658,Boron,International, ant
659,Bosnia_and_Herzegovina,Europe, ant
660,Boston%2C_Massachusetts,North_America, asia
661,Boston_RFC,North_America, australia
662,Boston_Terrier,North_America, africa
663,Boston_and_Lowell_Railroad,North_America, africa
664,Botany,International, europe
665,Botswana,Africa, asia
666,Bottlenose_Dolphin,International, asia
667,Boudica,Europe, north
668,Boundary_Waters_Canoe_Area_Wilderness,North_America, africa
669,Bourbonnais_train_accident,North_America, europe
670,Bouvet_Island,Africa, europe
671,Box_jellyfish,Oceania, africa
672,Boy_Scout,North_America, africa
673,Boyle_Roche,Europe, africa
674,Brabantian,Europe, europe
675,Brabham,Oceania, africa
676,Brachiosaurus,International, australia
677,Brahman,Asia, asia
678,Brain,International, north
679,Bran,Europe, africa
680,Brandon_Routh,North_America, ant
681,Bras%C3%ADlia,South_America, africa
682,Brass_instrument,International, asia
683,Bratislava,Europe, australia
684,Brazil,South_America, europe
685,Bread,International, europe
686,Breaker_Morant,Oceania, ant
687,Bretton_Woods_system,International, europe
688,Brian_Close,Europe, australia
689,Bridge,International, asia
690,Brighton,Europe, europe
691,Brisbane,Oceania, europe
692,Bristol,Europe, ant
693,British_East_India_Company,Asia, asia
694,British_Empire,International, north
695,British_English,Europe, ant
696,British_House_of_Commons,Europe, europe
697,British_Indian_Ocean_Territory,Asia, ant
698,British_Isles,Europe, africa
699,British_Isles_%28terminology%29,Europe, ant
700,British_Virgin_Islands,North_America, north
701,British_monarchy,Europe, europe
702,Britney_Spears,North_America, europe
703,Broadcasting,International, south
704,Bromine,International, asia
705,Bronze_Age,International, asia
706,Brothers_Grimm,Europe, north
707,Brown_trout,Europe, africa
708,Bruce_Lee,Asia, north
709,Bruce_Springsteen,North_America, ant
710,Brunei,Asia, australia
711,Brush,International, australia
712,Brussels,Europe, north
713,Brute_force_attack,International, ant
714,Bryce_Canyon_National_Park,North_America, south
715,Btrieve,International, asia
716,Bucharest,Europe, africa
717,Buckingham_Palace,Europe, ant
718,Buckminster_Fuller,North_America, south
719,Budapest,Europe, south
720,Buddha,Asia, europe
721,Buddhism,Asia, ant
722,Buddhist_art,Asia, africa
723,Buenos_Aires,South_America, africa
724,Buffy_the_Vampire_Slayer,North_America, south
725,Bulgaria,Europe, australia
726,Bull_shark,International, ant
727,Burkina_Faso,Africa, europe
728,Burundi,Africa, europe
729,Bushbuck,Africa, ant
730,Bushpig,Africa, asia
731,Business,International, europe
732,Butter,International, ant
733,Button,International, europe
734,Byzantine_Empire,Europe, europe
735,C%2B%2B,International, north
736,C%C3%A6dmon,Europe, north
737,C%C3%B4te_d%27Ivoire,Africa, ant
738,C._S._Lewis,Europe, north
739,CF7,International, asia
740,CPU_cache,International, africa
741,CS_gas,International, africa
742,Cactus,North_America, world
743,Cadmium,International, britain
744,Caesar_cipher,International, britain
745,Caesium,International, north
746,Caesium_fluoride,International, north
747,Cai_Lun,Asia, ant
748,Cairo,Africa, australia
749,Calcite,International, europe
750,Calcium,International, europe
751,Calcium_chloride,International, europe
752,Calculus,International, europe
753,Calgary,North_America, europe
754,California,North_America, australia
755,California_Southern_Railroad,North_America, africa
756,Californium,North_America, asia
757,Calligraphy,International, australia
758,Caloris_Basin,North_America, asia
759,Calvin_Coolidge,North_America, north
760,Calvin_and_Hobbes,North_America, south
761,Camarasaurus,North_America, africa
762,Cambodia,Asia, europe
763,Cambrian,International, south
764,Cambrian_explosion,International, south
765,Cambridge,Europe, europe
766,Camel,Africa, australia
767,Cameroon,Africa, north
768,Canada,North_America, europe
769,Canada_Goose,North_America, asia
770,Canadian_Charter_of_Rights_and_Freedoms,North_America, europe
771,Canadian_English,North_America, australia
772,Canadian_House_of_Commons,North_America, europe
773,Canadian_Pacific_Railway,North_America, europe
774,Canadian_Senate,North_America, europe
775,Canadian_football,North_America, europe
776,Canal,International, europe
777,Canaletto,Europe, europe
778,Canberra,Oceania, asia
779,Cancer,International, asia
780,Cane_Toad,Oceania, europe
781,Canola,North_America, europe
782,Canterbury,Europe, europe
783,Canterbury_Cathedral,Europe, north
784,Canute_the_Great,Europe, north
785,Capacitance,International, europe
786,Cape_Canaveral,North_America, north
787,Cape_Horn,South_America, asia
788,Cape_Lion,Africa, asia
789,Cape_Porcupine,Africa, asia
790,Cape_Town,Africa, europe
791,Cape_Verde,Africa, europe
792,Capital,International, asia
793,Capitalism,International, north
794,Capitoline_Triad,Europe, asia
795,Captain_Marvel_%28DC_Comics%29,North_America, asia
796,Caracas,South_America, asia
797,Caratacus,Europe, europe
798,Caravaggio,Europe, ant
799,Carbon,International, north
800,Carbon_dioxide,International, asia
801,Carboniferous,International, europe
802,Carcinus_maenas,International, europe
803,Card_game,International, north
804,Cardiff,Europe, europe
805,Caribbean_Sea,International, asia
806,Carl_Friedrich_Gauss,Europe, asia
807,Carl_G._Fisher,North_America, asia
808,Carl_Jung,Europe, south
809,Carl_Lewis,North_America, north
810,Carl_Sagan,North_America, europe
811,Carlsbad_Caverns_National_Park,North_America, europe
812,Carnivore,International, africa
813,Caroline_Island,Oceania, africa
814,Carolingian_Gospel_Book_%28British_Library%2C_MS_Add._11848%29,Europe, africa
815,Carolus_Linnaeus,Europe, africa
816,Carrot,International, africa
817,Casablanca_%28film%29,North_America, africa
818,Casimir_effect,International, africa
819,Caspian_Sea,International, north
820,Cassini-Huygens,International, australia
821,Cassowary,Oceania, asia
822,Castra,Europe, europe
823,Cat,International, asia
824,Cat%27s_Eye_Nebula,International, europe
