Articles	Categories	continent
ALCO_FA	subject.Design_and_Technology.Railway_transport	 north
ASCII	subject.IT.Computing_hardware_and_infrastructure	 asia
AT%26T	subject.Business_Studies.Companies	 north
ATLAS_experiment	subject.Science.Physics.General_Physics	 europe
A_Christmas_Carol	subject.Language_and_literature.Novels	 europe
A_Tale_of_a_Tub	subject.Language_and_literature.Novels	 europe
A_Wrinkle_in_Time	subject.Language_and_literature.Novels	 north
A_cappella	subject.Music.Musical_genres_styles_eras_and_events	 north
Aachen	subject.Geography.European_Geography	 europe
Aardvark	subject.Science.Biology.Mammals	 africa
Aarhus	subject.Geography.European_Geography	 europe
Abac%C3%A1	subject.Science.Biology.Plants	 asia
Abacus	subject.Everyday_life.Everyday_life	 asia
Abacus	subject.Mathematics	 asia
Abadan	subject.Geography.Geography_of_the_Middle_East	 asia
Abbadid	subject.History.Ancient_History_Classical_History_and_Mythology	 africa
Abbas_I_of_Persia	subject.People.Historical_figures	 asia
Abbasid	subject.History.Ancient_History_Classical_History_and_Mythology	 asia
Abbey	subject.History.British_History.British_History_15001750	 europe
Abbey	subject.Religion.Religious_movements_traditions_and_organizations	 europe
Abbey_Theatre	subject.Language_and_literature.Theatre	 europe
Abbot	subject.History.British_History.British_History_15001750	 ant
Abbot	subject.Religion.Religious_movements_traditions_and_organizations	 ant
Abel_Tasman	subject.People.Geographers_and_explorers	 australia
Aberdeen	subject.Geography.Geography_of_Great_Britain	 europe
Aberration_of_light	subject.Science.Physics.General_Physics	 ant
Aberystwyth	subject.Geography.Geography_of_Great_Britain	 europe
Abhidhamma_Pitaka	subject.Religion.Religious_texts	 asia
Abidjan	subject.Geography.African_Geography	 africa
Abkhazia	subject.Geography.Geography_of_Asia.Asian_Countries	 asia
Abkhazia	subject.Countries	 asia
Able_Archer_83	subject.History.Military_History_and_War	 europe
Abraham_Goldfaden	subject.People.Writers_and_critics	 europe
Abraham_Lincoln	subject.People.USA_Presidents	 north
Absinthe	subject.Everyday_life.Drink	 europe
Absolute_zero	subject.Science.Physics.General_Physics	 ant
Abstract_art	subject.Art.Art	 europe
Abu_Dhabi	subject.Countries	 asia
Abu_Dhabi	subject.Geography.Geography_of_the_Middle_East.Middle_Eastern_Countries	 asia
Abuja	subject.Geography.African_Geography	 africa
Acceleration	subject.Science.Physics.General_Physics	 ant
Accountancy	subject.Business_Studies.Business	 asia
Accra	subject.Geography.African_Geography	 africa
Acetic_acid	subject.Science.Chemistry.Chemical_compounds	 asia
Acetone	subject.Science.Chemistry.Chemical_compounds	 asia
Achilles	subject.History.Ancient_History_Classical_History_and_Mythology	 greece
Achilles_tendon	subject.Science.Biology.Health_and_medicine	 an
Acid_rain	subject.Citizenship.Environment	 north
Acid_rain	subject.Geography.General_Geography	 north
Acorn_Computers	subject.Business_Studies.Companies	 europe
Acorn_Computers	subject.IT.Computing_hardware_and_infrastructure	 europe
Actinium	subject.Science.Chemistry.Chemical_elements	 ant
Action_potential	subject.Science.Biology.General_Biology	 asia
Actor	subject.Language_and_literature.Theatre	 ant
Acts_of_Union_1707	subject.History.British_History.British_History_15001750	 ant
Actuary	subject.Business_Studies.Economics	 ant
Adam_Smith	subject.Business_Studies.Economics	 europe
Adam_Smith	subject.People.Historical_figures	 europe
Addis_Ababa	subject.Geography.African_Geography	 africa
Adelaide	subject.Geography.Geography_of_Oceania_Australasia	 australia
Adenosine_triphosphate	subject.Science.Chemistry.Chemical_compounds	 asia
Adi_Shankara	subject.People.Religious_figures_and_leaders	 asia
Adolf_Hitler	subject.People.Political_People	 europe
Adriaen_van_der_Donck	subject.People.Historical_figures	 north
Advertising	subject.Business_Studies.Business	 north
Advertising	subject.Everyday_life.Everyday_life	 north
Aesthetics	subject.Science.Biology.Health_and_medicine	 europe
Afghan_Hound	subject.Science.Biology.Mammals	 asia
Afghanistan	subject.Geography.Geography_of_Asia.Asian_Countries	 asia
Afghanistan	subject.Countries	 asia
Africa	subject.Geography.African_Geography	 africa
African_American_literature	subject.Language_and_literature.Literature_types	 africa
African_Black_Oystercatcher	subject.Science.Biology.Birds	 africa
African_Brush-tailed_Porcupine	subject.Science.Biology.Mammals	 africa
African_Buffalo	subject.Science.Biology.Mammals	 africa
African_Darter	subject.Science.Biology.Birds	 africa
African_Great_Lakes	subject.Geography.African_Geography	 africa
African_Grey_Hornbill	subject.Science.Biology.Birds	 africa
African_Grey_Parrot	subject.Science.Biology.Birds	 africa
African_Jacana	subject.Science.Biology.Birds	 africa
African_Penguin	subject.Science.Biology.Birds	 africa
African_Union	subject.Citizenship.Politics_and_government	 africa
African_Wild_Dog	subject.Science.Biology.Mammals	 africa
African_clawed_frog	subject.Science.Biology.Insects_Reptiles_and_Fish	 africa
African_dwarf_frog	subject.Science.Biology.Insects_Reptiles_and_Fish	 africa
African_slave_trade	subject.History.General_history	 africa
Afrikaans	subject.Language_and_literature.Languages	 africa
Agamemnon	subject.People.Historical_figures	 europe
Age_of_Enlightenment	subject.Religion.Philosophy	 europe
Aggregator	subject.IT.Websites_and_the_Internet	 asia
Agnosticism	subject.Religion.Philosophy	 asia
Agriculture	subject.Everyday_life.Food_and_agriculture	 australia
Airbus	subject.Design_and_Technology.Air_and_Sea_transport	 europe
Airbus_A380	subject.Design_and_Technology.Air_and_Sea_transport	 europe
Aircraft	subject.Design_and_Technology.Air_and_Sea_transport	 asia
Aircraft_carrier	subject.Design_and_Technology.Air_and_Sea_transport	 north
Airship	subject.Design_and_Technology.Air_and_Sea_transport	 ant
Ajax_%28programming%29	subject.IT.Computer_Programming	 asia
Akbar	subject.People.Historical_figures	 asia
Akhenaten	subject.History.Ancient_History_Classical_History_and_Mythology	 africa
Akhenaten	subject.People.Historical_figures	 africa
Akira_Kurosawa	subject.People.Producers_directors_and_media_figures	 asia
Akkadian_Empire	subject.History.Ancient_History_Classical_History_and_Mythology	 asia
Akrotiri_and_Dhekelia	subject.Geography.European_Geography	 europe
Aksumite_currency	subject.History.Ancient_History_Classical_History_and_Mythology	 africa
Al_Jazeera	subject.Citizenship.Media	 asia
Al_Jazeera	subject.Citizenship.Politics_and_government	 asia
Alamosaurus	subject.Science.Biology.Dinosaurs	 north
Alan_Turing	subject.People.Mathematicians	 europe
Albania	subject.Countries	 europe
Albania	subject.Geography.European_Geography.European_Countries	 europe
Albatross	subject.Science.Biology.Birds	 ant
Albert_Einstein	subject.People.Astronomers_and_physicists	 europe
Alberto_Santos-Dumont	subject.People.Engineers_and_inventors	 south
Albertosaurus	subject.Science.Biology.Dinosaurs	 north
Albigensian_Crusade	subject.History.Pre_1900_Military	 europe
Albigensian_Crusade	subject.Religion.Religious_disputes	 europe
Albinism	subject.Science.Biology.Health_and_medicine	 africa
Albrecht_D%C3%BCrer	subject.People.Mathematicians	 europe
Albrecht_Rodenbach	subject.People.Writers_and_critics	 europe
Alchemy	subject.Science.Chemistry.General_Chemistry	 africa
Alcibiades	subject.History.Ancient_History_Classical_History_and_Mythology	 europe
Alcibiades	subject.People.Historical_figures	 europe
Alcohol	subject.Science.Chemistry.General_Chemistry	 asia
Aleksandr_Pushkin	subject.People.Writers_and_critics	 europe
Aleksandr_Vasilevsky	subject.People.Military_People	 asia
Aleksey_Arakcheyev	subject.People.Historical_figures	 europe
Alexander_Graham_Bell	subject.People.Engineers_and_inventors	 north
Alexander_Hamilton	subject.People.Historical_figures	 north
Alexander_the_Great	subject.People.Military_People	 asia
Alfred_Hitchcock	subject.People.Producers_directors_and_media_figures	 europe
Alfred_Nobel	subject.People.Chemists	 europe
Alfred_the_Great	subject.History.British_History.British_History_1500_and_before_including_Roman_Britain	 europe
Alfred_the_Great	subject.People.Military_People	 europe
Alfred_the_Great	subject.People.Monarchs_of_Great_Britain	 europe
Algebra	subject.Mathematics	 asia
Algeria	subject.Geography.African_Geography.African_Countries	 africa
Algeria	subject.Countries	 africa
Algerian_Civil_War	subject.History.Military_History_and_War	 africa
Algiers	subject.Geography.African_Geography	 africa
Algol	subject.Science.Physics.Space_Astronomy	 ant
Algoma_Central_Railway	subject.Design_and_Technology.Railway_transport	 canada
Algorithm	subject.Mathematics	 asia
Alice%27s_Adventures_in_Wonderland	subject.Language_and_literature.Novels	 europe
All_Blacks	subject.Everyday_life.Sports_teams	 australia
All_You_Need_Is_Love_%28The_JAMs_song%29	subject.Music.Musical_Recordings_and_compositions	 europe
All_your_base_are_belong_to_us	subject.IT.Websites_and_the_Internet	 asia
Allah	subject.Religion.Divinities	 asia
Allegory_in_the_Middle_Ages	subject.Religion.Religious_texts	 ant
Alligator	subject.Science.Biology.Insects_Reptiles_and_Fish	 north
Alliterative_verse	subject.Language_and_literature.Poetry_and_Opera	 australia
Allosaurus	subject.Science.Biology.Dinosaurs	 south
Almaty	subject.Geography.Geography_of_Asia	 asia
Almond	subject.Everyday_life.Food_and_agriculture	 asia
Almond	subject.Science.Biology.Plants	 asia
Alpaca	subject.Science.Biology.Mammals	 south
Alphabet	subject.Language_and_literature.Linguistics	 asia
Alternating_current	subject.Design_and_Technology.Engineering	 asia
Alternation_of_generations	subject.Science.Biology.General_Biology	 asia
Alternative_rock	subject.Music.Musical_genres_styles_eras_and_events	 ant
Aluminium	subject.Science.Chemistry.Chemical_elements	 asia
Aluminium_chloride	subject.Science.Chemistry.Chemical_compounds	 asia
Alzheimer%27s_disease	subject.Science.Biology.Health_and_medicine	 ant
Amaranth_oil	subject.Science.Biology.Plants	 australia
Amarillo%2C_Texas	subject.Geography.North_American_Geography	 north
Amazon_Basin	subject.Geography.Central_and_South_American_Geography	 south
Amazon_Rainforest	subject.Geography.Central_and_South_American_Geography	 south
Amazon_River	subject.Geography.Central_and_South_American_Geography	 south
Amazon_parrot	subject.Science.Biology.Birds	 south
Amber	subject.Geography.Mineralogy	 europe
Amda_Seyon_I	subject.People.Historical_figures	 africa
American_Civil_War	subject.History.Pre_1900_Military	 north
American_English	subject.Language_and_literature.Languages	 north
American_Revolutionary_War	subject.History.Pre_1900_Military	 north
American_Samoa	subject.Geography.Geography_of_Oceania_Australasia	 o
American_football	subject.Everyday_life.Sports	 north
American_popular_music	subject.Music.Musical_genres_styles_eras_and_events	 north
Americium	subject.Science.Chemistry.Chemical_elements	 north
Amish	subject.Geography.Peoples	 north
Ammolite	subject.Geography.Mineralogy	 australia
Ammonia	subject.Science.Chemistry.Chemical_compounds	 asia
Ammonite	subject.Geography.Mineralogy	 ant
Ammosaurus	subject.Science.Biology.Dinosaurs	 north
Amsterdam	subject.Geography.European_Geography	 europe
Amtrak	subject.Design_and_Technology.Railway_transport	 north
Amur	subject.Geography.Geography_of_Asia	 asia
Anaconda	subject.Science.Biology.Insects_Reptiles_and_Fish	 south
Analytical_Marxism	subject.Religion.Philosophy	 europe
Anarchism	subject.Religion.Philosophy	 ant
Anarcho-capitalism	subject.Citizenship.Politics_and_government	 north
Anatomy	subject.Science.Biology.General_Biology	 asia
Ancient_Egypt	subject.History.Ancient_History_Classical_History_and_Mythology	 africa
Ancient_Greece	subject.History.Ancient_History_Classical_History_and_Mythology	 europe
Ancient_Rome	subject.History.Ancient_History_Classical_History_and_Mythology	 europe
Ancient_history	subject.History.General_history	 europe
Andes	subject.Geography.Central_and_South_American_Geography	 south
Andorra	subject.Countries	 europe
Andorra	subject.Geography.European_Geography.European_Countries	 europe
Andr%C3%A9s_Nocioni	subject.People.Sports_and_games_people	 south
Andrew_Carnegie	subject.People.Engineers_and_inventors	 north
Andrew_Dickson_White	subject.People.Political_People	 north
Andrew_Gonzalez	subject.People.Writers_and_critics	 asia
Andrew_Jackson	subject.People.USA_Presidents	 north
Andrew_Johnson	subject.People.USA_Presidents	 north
Andrew_Robinson	subject.People.Actors_models_and_celebrities	 north
Andriyivskyy_Descent	subject.Geography.Geography_of_Asia	 europe
Andromeda_Galaxy	subject.Science.Physics.Space_Astronomy	 ant
Andy_Warhol	subject.People.Artists	 north
Anemia	subject.Science.Biology.Health_and_medicine	 asia
Angel_shark	subject.Science.Biology.Insects_Reptiles_and_Fish	 australia
Angelica	subject.Science.Biology.Plants	 europe
Angkor	subject.Geography.African_Geography	 asia
Angkor_Wat	subject.Design_and_Technology.Architecture	 asia
Anglican_Church_of_Australia	subject.Religion.Religious_movements_traditions_and_organizations	 australia
Anglican_Communion	subject.Religion.Religious_movements_traditions_and_organizations	 world
Anglicanism	subject.Religion.Religious_movements_traditions_and_organizations	 ant
Anglo-Saxon_literature	subject.History.British_History.British_History_1500_and_before_including_Roman_Britain	 europe
Anglo-Saxon_literature	subject.Language_and_literature.Literature_types	 europe
Angola	subject.Geography.African_Geography.African_Countries	 africa
Angola	subject.Countries	 africa
Anguilla	subject.Geography.Central_and_South_American_Geography.Central_and_South_American_Countries	 ant
Anguilla	subject.Countries	 ant
Animal	subject.Science.Biology.General_Biology	 australia
Animal_law	subject.Citizenship.Animal_and_Human_Rights	 ant
Animal_rights	subject.Citizenship.Animal_and_Human_Rights	 asia
Animation	subject.Everyday_life.Computer_and_Video_games	 asia
Animation	subject.Everyday_life.Films	 asia
Ankylosaurus	subject.Science.Biology.Dinosaurs	 asia
Ann_Arbor%2C_Michigan	subject.Geography.North_American_Geography	 north
Anna_Karenina	subject.Language_and_literature.Novels	 russia
Anne_Frank	subject.People.Writers_and_critics	 europe
Anne_of_Great_Britain	subject.History.British_History.British_History_15001750	 europe
Anne_of_Great_Britain	subject.People.Monarchs_of_Great_Britain	 europe
Annibale_Bugnini	subject.People.Religious_figures_and_leaders	 europe
Anno_Domini	subject.History.General_history	 europe
Anschluss	subject.History.Recent_History	 europe
Anschluss	subject.History.World_War_II	 europe
Ant	subject.Science.Biology.Insects_Reptiles_and_Fish	 ant
Antananarivo	subject.Geography.African_Geography	 africa
Antarctic_Treaty_System	subject.Geography.Antarctica	 ant
Antarctic_krill	subject.Science.Biology.Insects_Reptiles_and_Fish	 ant
Antarctica	subject.Geography.Antarctica	 ant
Antarctosaurus	subject.Science.Biology.Dinosaurs	 south
Anteater	subject.Science.Biology.Mammals	 south
Antelope	subject.Science.Biology.Mammals	 africa
Anthony_van_Dyck	subject.People.Artists	 europe
Anthropology	subject.Geography.Peoples	 africa
Antigua_and_Barbuda	subject.Geography.Central_and_South_American_Geography.Central_and_South_American_Countries	 ant
Antigua_and_Barbuda	subject.Countries	 ant
Antimony	subject.Science.Chemistry.Chemical_elements	 ant
Antlion	subject.Science.Biology.Insects_Reptiles_and_Fish	 africa
Antoine_Lavoisier	subject.People.Chemists	 europe
Anton%C3%ADn_Dvo%C5%99%C3%A1k	subject.People.Performers_and_composers	 europe
Anton_Alexander_von_Werner	subject.People.Artists	 europe
Antonio_Vivaldi	subject.People.Performers_and_composers	 europe
Antwerp	subject.Geography.European_Geography	 ant
Apaochi	subject.History.Ancient_History_Classical_History_and_Mythology	 asia
Apatosaurus	subject.Science.Biology.Dinosaurs	 south
Ape	subject.Science.Biology.Mammals	 africa
Aphid	subject.Science.Biology.Insects_Reptiles_and_Fish	 ant
Apollo	subject.Religion.Divinities	 greece
Apollo_11	subject.Science.Physics.Space_transport	 north
Apollo_8	subject.Science.Physics.Space_transport	 north
Apostolic_Succession	subject.Religion.Religious_disputes	 ant
Apple	subject.Everyday_life.Food_and_agriculture	 asia
Applied_mathematics	subject.Mathematics	 australia
Apricot	subject.Everyday_life.Food_and_agriculture	 asia
Aquarium	subject.Everyday_life.Everyday_life	 australia
Aquarium	subject.Science.Biology.General_Biology	 australia
Arab-Israeli_conflict	subject.Citizenship.Conflict_and_Peace	 asia
Arab_League	subject.Citizenship.Politics_and_government	 africa
Arabic_language	subject.Language_and_literature.Languages	 africa
Arable_land	subject.Everyday_life.Food_and_agriculture	 asia
Aradia%2C_or_the_Gospel_of_the_Witches	subject.Language_and_literature.General_Literature	 europe
Aral_Sea	subject.Geography.General_Geography	 asia
Arcadia_%28play%29	subject.Language_and_literature.Theatre	 europe
Archaeoastronomy	subject.Science.Physics.Space_Astronomy	 south
Archaeology	subject.History.Archaeology	 asia
Archaeopteryx	subject.Science.Biology.Birds	 europe
Archbishop_of_Canterbury	subject.People.Religious_figures_and_leaders	 europe
Archimedes	subject.People.Mathematicians	 europe
Architecture	subject.Design_and_Technology.Architecture	 ant
Architecture_of_Windows_NT	subject.IT.Software	 asia
Architecture_of_the_California_missions	subject.Design_and_Technology.Architecture	 north
Arctic	subject.Geography.General_Geography	 ar
Arctic_Circle	subject.Geography.General_Geography	 ant
Arctic_Monkeys	subject.Music.Performers_and_composers	 europe
Arctic_Ocean	subject.Geography.General_Geography	 ant
Arctic_Tern	subject.Science.Biology.Birds	 ant
Arecaceae	subject.Science.Biology.Plants	 asia
Argan	subject.Science.Biology.Plants	 africa
Argentina	subject.Geography.Central_and_South_American_Geography.Central_and_South_American_Countries	 south
Argentina	subject.Countries	 south
Argon	subject.Science.Chemistry.Chemical_elements	 ant
Argyle_diamond_mine	subject.Geography.Geography_of_Oceania_Australasia	 australia
Ariel_Sharon	subject.People.Political_People	 asia
Aristarchus_%28crater%29	subject.Science.Physics.Space_Astronomy	 ant
Aristotle	subject.People.Philosophers	 greece
Arithmetic	subject.Mathematics	 ant
Armadillo	subject.Science.Biology.Mammals	 south
Armand_Jean_du_Plessis%2C_Cardinal_Richelieu	subject.People.Historical_figures	 europe
Armenia	subject.Countries	 asia
Armenia	subject.Geography.European_Geography.European_Countries	 asia
Armia_Krajowa	subject.People.Political_People	 europe
Arnold_Schwarzenegger	subject.People.Producers_directors_and_media_figures	 north
Arp2_3_complex	subject.Science.Biology.General_Biology	 ant
Ars_moriendi	subject.History.General_history	 ant
Arsenal_F.C.	subject.Everyday_life.Sports_teams	 europe
Arsenic	subject.Science.Chemistry.Chemical_elements	 asia
Art	subject.Art.Art	 asia
Arthropod	subject.Science.Biology.General_Biology	 australia
Arthur_Ernest_Percival	subject.People.Military_People	 europe
Arthur_Sullivan	subject.History.British_History.British_History_17501900	 europe
Arthur_Sullivan	subject.People.Writers_and_critics	 europe
Arthur_Upfield	subject.People.Writers_and_critics	 australia
Arthur_Wellesley%2C_1st_Duke_of_Wellington	subject.History.British_History.British_History_17501900	 europe
Arthur_Wellesley%2C_1st_Duke_of_Wellington	subject.People.Military_People	 europe
Arts_and_crafts	subject.Art.Art	 ant
Aruba	subject.Geography.Central_and_South_American_Geography.Central_and_South_American_Countries	 ant
Aruba	subject.Countries	 ant
Arugula	subject.Everyday_life.Food_and_agriculture	 europe
Ascariasis	subject.Science.Biology.Health_and_medicine	 africa
Asia	subject.Geography.Geography_of_Asia	 asia
Asp_%28reptile%29	subject.Science.Biology.Insects_Reptiles_and_Fish	 africa
Asparagus	subject.Everyday_life.Food_and_agriculture	 asia
Asperger_syndrome	subject.Science.Biology.Health_and_medicine	 ant
Assyria	subject.History.Ancient_History_Classical_History_and_Mythology	 asia
Astatine	subject.Science.Chemistry.Chemical_elements	 ant
Asteroid	subject.Science.Physics.Space_Astronomy	 ant
Asthma	subject.Science.Biology.Health_and_medicine	 asia
Astrology	subject.Everyday_life.Recreation	 asia
Astronomy	subject.Science.Physics.Space_Astronomy	 ant
Astrophysics_Data_System	subject.Science.Physics.Space_Astronomy	 ant
Asunci%C3%B3n	subject.Geography.Central_and_South_American_Geography	 south
Ateneo_de_Manila_University	subject.Geography.Central_and_South_American_Geography	 asia
Athanasius_Kircher	subject.History.Historians_chroniclers_and_history_books	 europe
Athanasius_Kircher	subject.People.Human_Scientists	 europe
Atheism	subject.Religion.Philosophy	 europe
Athena	subject.Religion.Divinities	 greece
Athens	subject.Geography.European_Geography	 europe
Athletics_%28track_and_field%29	subject.Everyday_life.Sports	 ant
Atlanta%2C_Georgia	subject.Geography.North_American_Geography	 north
Atlantic_Coast_Line_Railroad	subject.Design_and_Technology.Railway_transport	 north
Atlantic_Ocean	subject.Geography.General_Geography	 atlantic
Atlantic_herring	subject.Science.Biology.Insects_Reptiles_and_Fish	 europe
Atlantic_slave_trade	subject.History.British_History.British_History_17501900	 africa
Atlantis	subject.Religion.Myths	 europe
Atom	subject.Science.Chemistry.General_Chemistry	 ant
Atonality	subject.Music.Musical_genres_styles_eras_and_events	 europe
Attack_on_Pearl_Harbor	subject.History.World_War_II	 asia
Attalus_I	subject.People.Historical_figures	 asia
Attention-deficit_hyperactivity_disorder	subject.Science.Biology.Health_and_medicine	 ant
Attila_the_Hun	subject.People.Historical_figures	 asia
Attila_the_Hun	subject.People.Military_People	 asia
Auckland	subject.Geography.Geography_of_Oceania_Australasia	 australia
Augusta%2C_Lady_Gregory	subject.Language_and_literature.Theatre	 europe
Augusta%2C_Lady_Gregory	subject.People.Writers_and_critics	 europe
Augustan_literature	subject.Language_and_literature.Literature_types	 europe
Auguste_Rodin	subject.People.Artists	 europe
Augustine_of_Hippo	subject.People.Religious_figures_and_leaders	 africa
Augustus	subject.People.Historical_figures	 rome
Australia	subject.Countries	 australia
Australia	subject.Geography.Geography_of_Oceania_Australasia	 australia
Australian_English	subject.Language_and_literature.Languages	 australia
Australian_Green_Tree_Frog	subject.Science.Biology.Insects_Reptiles_and_Fish	 australia
Australian_Open	subject.Everyday_life.Sports_events	 australia
Australian_Ringneck	subject.Science.Biology.Birds	 australia
Australian_constitutional_law	subject.Geography.Geography_of_Oceania_Australasia	 australia
Australian_rules_football	subject.Everyday_life.Sports	 australia
Austria	subject.Countries	 europe
Austria	subject.Geography.European_Geography.European_Countries	 europe
Autism	subject.Science.Biology.Health_and_medicine	 ant
Auto_racing	subject.Everyday_life.Sports	 australia
Autobianchi_Primula	subject.Science.Biology.Plants	 europe
Autocracy	subject.Citizenship.Politics_and_government	 ant
Automated_teller_machine	subject.Design_and_Technology.Engineering	 asia
Automatic_number_plate_recognition	subject.Design_and_Technology.Road_transport	 asia
Automobile	subject.Design_and_Technology.Road_transport	 north
Autorack	subject.Design_and_Technology.Railway_transport	 north
Autostereogram	subject.Science.Biology.Health_and_medicine	 asia
Autumn	subject.Geography.Climate_and_the_Weather	 ant
Avacha_Volcano	subject.Geography.Geography_of_Asia	 asia
Avalanche	subject.Geography.Natural_Disasters	 ant
Avatar__The_Last_Airbender	subject.Everyday_life.Television	 asia
Avocado	subject.Everyday_life.Food_and_agriculture	 central
Avocado	subject.Science.Biology.Plants	 central
Avon_Gorge	subject.Geography.Geography_of_Great_Britain	 europe
Avro_Lancaster	subject.Design_and_Technology.Air_and_Sea_transport	 europe
Avro_Lancaster	subject.History.World_War_II	 europe
Axe	subject.Design_and_Technology.Engineering	 asia
Ayaan_Hirsi_Ali	subject.People.Political_People	 africa
Aye-aye	subject.Science.Biology.Mammals	 africa
Aymer_de_Valence%2C_2nd_Earl_of_Pembroke	subject.People.Historical_figures	 europe
Azerbaijan	subject.Countries	 asia
Azerbaijan	subject.Geography.European_Geography.European_Countries	 asia
Azerbaijani_people	subject.Geography.Peoples	 asia
Aztec	subject.History.Ancient_History_Classical_History_and_Mythology	 mes
BAE_Systems	subject.Business_Studies.Companies	 europe
BASIC	subject.IT.Computer_Programming	 north
BBC	subject.Citizenship.Media	 europe
BBC	subject.Everyday_life.Television	 europe
BBC_television_drama	subject.Everyday_life.Television	 europe
BP	subject.Business_Studies.Companies	 europe
BT_Tower	subject.Design_and_Technology.Architecture	 europe
B_vitamins	subject.Science.Biology.Health_and_medicine	 asia
Babe_Ruth	subject.People.Sports_and_games_people	 north
Baboon	subject.Science.Biology.Mammals	 africa
Babur	subject.History.Ancient_History_Classical_History_and_Mythology	 asia
Babur	subject.People.Historical_figures	 asia
Baby_Gender_Mentor	subject.Science.Biology.Health_and_medicine	 north
Babylonia	subject.History.Ancient_History_Classical_History_and_Mythology	 asia
Backgammon	subject.Everyday_life.Games	 asia
Bacteria	subject.Science.Biology.Organisms	 ant
Baden-Powell_House	subject.Citizenship.Community_organisations	 europe
